match_id,season,season_code,date,home_team,away_team,fthg,ftag,ftr,hthg,htag,htr,referee
9394-arsenal-coventry,1993-94,9394,1993-08-14,Arsenal,Coventry,0,3,A,,,,
9394-astonvilla-qpr,1993-94,9394,1993-08-14,Aston Villa,QPR,4,1,H,,,,
9394-chelsea-blackburn,1993-94,9394,1993-08-14,Chelsea,Blackburn,1,2,A,,,,
9394-liverpool-sheffieldweds,1993-94,9394,1993-08-14,Liverpool,Sheffield Weds,2,0,H,,,,
9394-mancity-leeds,1993-94,9394,1993-08-14,Man City,Leeds,1,1,D,,,,
9394-newcastle-tottenham,1993-94,9394,1993-08-14,Newcastle,Tottenham,0,1,A,,,,
9394-oldham-ipswich,1993-94,9394,1993-08-14,Oldham,Ipswich,0,3,A,,,,
9394-sheffieldunited-swindon,1993-94,9394,1993-08-14,Sheffield United,Swindon,3,1,H,,,,
9394-southampton-everton,1993-94,9394,1993-08-14,Southampton,Everton,0,2,A,,,,
9394-westham-wimbledon,1993-94,9394,1993-08-14,West Ham,Wimbledon,0,2,A,,,,
9394-norwich-manunited,1993-94,9394,1993-08-15,Norwich,Man United,0,2,A,,,,
9394-tottenham-arsenal,1993-94,9394,1993-08-16,Tottenham,Arsenal,0,1,A,,,,
9394-everton-mancity,1993-94,9394,1993-08-17,Everton,Man City,1,0,H,,,,
9394-ipswich-southampton,1993-94,9394,1993-08-17,Ipswich,Southampton,1,0,H,,,,
9394-leeds-westham,1993-94,9394,1993-08-17,Leeds,West Ham,1,0,H,,,,
9394-wimbledon-chelsea,1993-94,9394,1993-08-17,Wimbledon,Chelsea,1,1,D,,,,
9394-blackburn-norwich,1993-94,9394,1993-08-18,Blackburn,Norwich,2,3,A,,,,
9394-coventry-newcastle,1993-94,9394,1993-08-18,Coventry,Newcastle,2,1,H,,,,
9394-manunited-sheffieldunited,1993-94,9394,1993-08-18,Man United,Sheffield United,3,0,H,,,,
9394-qpr-liverpool,1993-94,9394,1993-08-18,QPR,Liverpool,1,3,A,,,,
9394-sheffieldweds-astonvilla,1993-94,9394,1993-08-18,Sheffield Weds,Aston Villa,0,0,D,,,,
9394-swindon-oldham,1993-94,9394,1993-08-18,Swindon,Oldham,0,1,A,,,,
9394-blackburn-oldham,1993-94,9394,1993-08-21,Blackburn,Oldham,1,0,H,,,,
9394-coventry-westham,1993-94,9394,1993-08-21,Coventry,West Ham,1,1,D,,,,
9394-everton-sheffieldunited,1993-94,9394,1993-08-21,Everton,Sheffield United,4,2,H,,,,
9394-ipswich-chelsea,1993-94,9394,1993-08-21,Ipswich,Chelsea,1,0,H,,,,
9394-leeds-norwich,1993-94,9394,1993-08-21,Leeds,Norwich,0,4,A,,,,
9394-manunited-newcastle,1993-94,9394,1993-08-21,Man United,Newcastle,1,1,D,,,,
9394-qpr-southampton,1993-94,9394,1993-08-21,QPR,Southampton,2,1,H,,,,
9394-sheffieldweds-arsenal,1993-94,9394,1993-08-21,Sheffield Weds,Arsenal,0,1,A,,,,
9394-tottenham-mancity,1993-94,9394,1993-08-21,Tottenham,Man City,1,0,H,,,,
9394-wimbledon-astonvilla,1993-94,9394,1993-08-21,Wimbledon,Aston Villa,2,2,D,,,,
