match_id,home_xg,away_xg
1415-manunited-swansea,1.16635,0.278076
2223-bournemouth-astonvilla,0.588341,0.488895
2223-leeds-wolves,0.88917,1.10119
2223-newcastle-nottmforest,1.8591,0.235825
2223-tottenham-southampton,1.6172,0.386546
2223-everton-chelsea,0.541983,1.92315
2223-manunited-brighton,1.42103,1.7289
2223-leicester-brentford,0.455695,0.931067
2223-westham-mancity,0.246188,2.58739
2223-astonvilla-everton,2.66696,1.37507
2223-brighton-newcastle,1.60835,0.183952
2223-mancity-bournemouth,1.69064,0.123946
2223-southampton-leeds,1.40906,1.99694
2223-wolves-fulham,0.975375,1.08813
2223-arsenal-leicester,3.0107,0.690679
2223-brentford-manunited,1.38785,0.896038
2223-nottmforest-westham,1.9717,2.08634
2223-chelsea-tottenham,1.83945,1.58708
2223-brighton-leeds,1.60986,1.14874
2223-brentford-everton,2.28391,1.65465
2223-southampton-manunited,1.35887,1.34359
2223-manunited-liverpool,2.01764,1.52301
2223-newcastle-mancity,2.2127,3.67382
2223-westham-brighton,0.768634,1.82645
2223-fulham-liverpool,1.26822,2.34111
2223-leeds-chelsea,2.20971,0.692492
2223-leicester-southampton,0.242948,1.24155
2223-fulham-brentford,2.89934,1.59352
2223-everton-nottmforest,1.43408,0.918315
2223-crystalpalace-astonvilla,2.91137,0.803828
2223-tottenham-wolves,1.46608,0.686123
2223-liverpool-crystalpalace,2.23596,1.64468
2223-bournemouth-arsenal,0.211335,1.71081
2223-chelsea-leicester,1.74916,1.96023
2223-crystalpalace-arsenal,1.20637,1.43601
2122-mancity-astonvilla,3.3209,0.247841
2122-liverpool-tottenham,1.0481,0.982635
2122-norwich-westham,0.77895,3.25894
2122-leicester-everton,1.47479,1.55635
2122-arsenal-leeds,2.7227,0.696785
2122-mancity-newcastle,4.05613,0.995099
2122-astonvilla-liverpool,1.44726,1.75417
2122-leeds-chelsea,0.499789,1.46853
2122-leicester-norwich,2.57058,1.21966
2122-watford-everton,0.232236,0.812193
2122-wolves-mancity,0.411857,3.39304
2122-tottenham-arsenal,3.42522,0.387446
2122-tottenham-burnley,2.39449,0.629888
2122-wolves-norwich,0.999066,1.53212
2122-westham-mancity,1.0088,2.14723
2122-watford-leicester,2.58968,2.27297
2122-leeds-brighton,2.22282,2.25898
2122-astonvilla-crystalpalace,0.799443,1.39009
2122-liverpool-wolves,3.19385,1.11708
2122-leicester-southampton,3.42058,1.05141
2122-crystalpalace-manunited,0.354618,0.782005
2122-chelsea-watford,2.59231,0.575755
2122-burnley-newcastle,1.49164,1.74291
2122-brighton-westham,1.67774,0.268845
2122-norwich-tottenham,0.310789,3.815
2122-brentford-leeds,0.844985,1.47786
2122-chelsea-leicester,1.61996,0.0417972
2122-astonvilla-burnley,0.996403,1.63117
2122-everton-crystalpalace,0.813157,1.6023
2122-southampton-liverpool,0.121506,1.19178
2122-newcastle-arsenal,1.68299,0.492454
2122-everton-brentford,2.69589,1.81626
2122-arsenal-everton,4.35597,1.08601
2223-liverpool-bournemouth,4.86035,0.180991
2223-mancity-crystalpalace,2.3853,0.091976
2223-arsenal-fulham,2.47427,0.926007
2223-westham-wolves,1.03934,0.575988
2223-mancity-manunited,3.01103,1.71335
2223-leeds-astonvilla,0.298626,1.89645
2223-leicester-nottmforest,1.2497,1.22169
2223-bournemouth-leicester,1.14891,1.18125
2223-chelsea-wolves,2.43092,0.748449
2223-mancity-southampton,2.73536,0.101148
2223-newcastle-brentford,2.44631,1.13466
2223-brighton-tottenham,0.899735,0.771641
2223-crystalpalace-leeds,1.65194,1.06564
2223-westham-fulham,3.43676,0.549848
2223-arsenal-liverpool,2.81968,0.765151
2223-everton-manunited,0.365844,1.82612
2223-nottmforest-astonvilla,0.221346,0.657187
2223-brentford-brighton,1.90636,2.15668
2223-leicester-crystalpalace,0.973426,0.346808
2223-fulham-bournemouth,1.61738,1.62829
2223-manunited-tottenham,1.70973,0.658526
2223-liverpool-westham,2.24066,2.48649
2223-newcastle-everton,1.13393,0.0609567
2223-brentford-chelsea,1.45228,0.557405
2223-bournemouth-southampton,0.810452,1.23878
2223-crystalpalace-wolves,1.25617,0.857837
2223-southampton-everton,1.95961,1.99979
2223-brighton-nottmforest,2.10188,0.195003
2223-southampton-westham,0.524479,1.70727
2223-manunited-newcastle,1.41606,0.78815
2223-leeds-arsenal,2.02232,0.821757
2223-astonvilla-chelsea,2.44542,1.23643
2223-tottenham-everton,2.49409,0.560039
2223-wolves-nottmforest,1.22368,1.24761
2223-liverpool-mancity,1.9992,0.911493
2223-liverpool-brighton,2.1515,2.36567
2223-fulham-newcastle,0.683701,4.67198
2223-crystalpalace-chelsea,0.70987,1.25506
2223-everton-liverpool,1.39169,1.38617
2223-leicester-manunited,0.615266,1.09969
2223-liverpool-newcastle,1.76119,0.643546
2223-westham-tottenham,1.52267,0.723285
2223-bournemouth-wolves,0.362035,1.53246
2223-arsenal-astonvilla,2.79971,0.297168
2223-newcastle-crystalpalace,2.90672,0.920595
2223-mancity-nottmforest,3.83759,0.729752
2223-southampton-chelsea,1.44086,1.5047
2223-crystalpalace-brentford,0.777363,1.61808
2223-fulham-brighton,1.07093,1.75359
2223-nottmforest-tottenham,0.801369,2.44473
2223-wolves-newcastle,1.13248,1.93362
2223-astonvilla-westham,0.304555,0.334589
2223-leeds-everton,1.04551,1.17189
2122-brighton-manunited,2.82636,0.930715
2223-nottmforest-bournemouth,1.32895,0.905041
2223-wolves-southampton,1.10039,1.20838
2223-bournemouth-brentford,0.758128,1.046
2223-arsenal-tottenham,2.48403,1.5027
2223-everton-westham,0.39773,0.655351
2223-brentford-arsenal,0.54011,1.32021
2223-tottenham-leicester,1.98619,1.59449
2223-newcastle-bournemouth,1.54758,0.976948
2223-tottenham-fulham,2.67823,0.381556
2223-wolves-mancity,0.310995,1.4242
2223-astonvilla-southampton,1.34365,0.218302
2223-manunited-arsenal,2.02904,1.42238
2223-brighton-leicester,2.73166,1.06549
2223-astonvilla-mancity,0.279392,1.92143
2223-chelsea-westham,0.707333,1.4196
2223-brentford-leeds,2.7485,1.796
2223-nottmforest-fulham,1.41541,1.3496
2223-fulham-astonvilla,2.892,0.711487
2122-brentford-southampton,3.68223,0.988574
2122-chelsea-wolves,1.82098,1.6842
2122-mancity-tottenham,2.31773,2.00235
2122-leeds-manunited,1.74476,2.60999
2122-wolves-leicester,0.472777,1.55048
2122-burnley-tottenham,1.55576,0.691655
2122-watford-crystalpalace,1.71917,0.818403
2122-liverpool-leeds,5.3303,0.141547
2122-arsenal-wolves,2.50961,1.10934
2122-southampton-norwich,3.08863,0.424877
2122-leeds-tottenham,1.89569,2.47025
2122-brentford-newcastle,0.494232,2.25373
2122-crystalpalace-burnley,1.03765,0.255988
2122-manunited-watford,2.41457,0.437185
2122-brighton-astonvilla,0.627107,1.3027
2122-everton-mancity,0.770819,1.93422
2122-westham-wolves,1.62241,0.892018
2122-burnley-leicester,1.04214,1.79558
2122-leicester-leeds,0.359129,2.14389
2122-brighton-liverpool,0.629316,2.48312
2122-leeds-astonvilla,0.194028,1.2729
2122-norwich-chelsea,0.965723,2.1308
2122-southampton-newcastle,1.79835,0.812233
2122-wolves-watford,1.55037,0.498696
2122-tottenham-everton,3.24279,0.208263
2122-southampton-everton,2.72851,0.19991
2122-mancity-manunited,2.74434,0.361782
2122-liverpool-westham,2.18865,1.33829
2122-wolves-crystalpalace,0.710865,2.53759
2122-norwich-brentford,0.77334,2.22064
2122-newcastle-brighton,1.58028,1.64995
2122-burnley-chelsea,0.849232,2.2868
2122-astonvilla-southampton,2.85379,1.32947
2122-watford-arsenal,1.29603,1.00457
2122-brentford-burnley,1.82002,0.825311
2122-liverpool-norwich,3.15449,0.66975
2122-brighton-burnley,0.44587,0.821228
