match_id,season,season_code,date,home_team,away_team,fthg,ftag,ftr,hthg,htag,htr,referee,stage,neutral
ucl202122-manchestercity-rbleipzig-2021-09-15,2021-22,202122,2021-09-15,Manchester City,RB Leipzig,6,3,H,3.0,1.0,H,,League phase / group stage,False
ucl202122-clubbruggekv-parissaintgermain-2021-09-15,2021-22,202122,2021-09-15,Club Brugge KV,Paris Saint-Germain,1,1,D,1.0,1.0,D,,League phase / group stage,False
ucl202122-parissaintgermain-manchestercity-2021-09-28,2021-22,202122,2021-09-28,Paris Saint-Germain,Manchester City,2,0,H,1.0,0.0,H,,League phase / group stage,False
ucl202122-rbleipzig-clubbruggekv-2021-09-28,2021-22,202122,2021-09-28,RB Leipzig,Club Brugge KV,1,2,A,1.0,2.0,A,,League phase / group stage,False
ucl202122-clubbruggekv-manchestercity-2021-10-19,2021-22,202122,2021-10-19,Club Brugge KV,Manchester City,1,5,A,0.0,2.0,A,,League phase / group stage,False
ucl202122-parissaintgermain-rbleipzig-2021-10-19,2021-22,202122,2021-10-19,Paris Saint-Germain,RB Leipzig,3,2,H,1.0,1.0,D,,League phase / group stage,False
ucl202122-rbleipzig-parissaintgermain-2021-11-03,2021-22,202122,2021-11-03,RB Leipzig,Paris Saint-Germain,2,2,D,1.0,2.0,A,,League phase / group stage,False
ucl202122-manchestercity-clubbruggekv-2021-11-03,2021-22,202122,2021-11-03,Manchester City,Club Brugge KV,4,1,H,1.0,1.0,D,,League phase / group stage,False
ucl202122-manchestercity-parissaintgermain-2021-11-24,2021-22,202122,2021-11-24,Manchester City,Paris Saint-Germain,2,1,H,0.0,0.0,D,,League phase / group stage,False
ucl202122-clubbruggekv-rbleipzig-2021-11-24,2021-22,202122,2021-11-24,Club Brugge KV,RB Leipzig,0,5,A,0.0,4.0,A,,League phase / group stage,False
ucl202122-rbleipzig-manchestercity-2021-12-07,2021-22,202122,2021-12-07,RB Leipzig,Manchester City,2,1,H,1.0,0.0,H,,League phase / group stage,False
ucl202122-parissaintgermain-clubbruggekv-2021-12-07,2021-22,202122,2021-12-07,Paris Saint-Germain,Club Brugge KV,4,1,H,3.0,0.0,H,,League phase / group stage,False
ucl202122-parissaintgermain-realmadrid-2022-02-15,2021-22,202122,2022-02-15,Paris Saint-Germain,Real Madrid,1,0,H,0.0,0.0,D,,Round of 16,False
ucl202122-sportingcp-manchestercity-2022-02-15,2021-22,202122,2022-02-15,Sporting CP,Manchester City,0,5,A,0.0,4.0,A,,Round of 16,False
ucl202122-rbsalzburg-bayernmnchen-2022-02-16,2021-22,202122,2022-02-16,RB Salzburg,Bayern München,1,1,D,1.0,0.0,H,,Round of 16,False
ucl202122-inter-liverpoolfc-2022-02-16,2021-22,202122,2022-02-16,Inter,Liverpool FC,0,2,A,0.0,0.0,D,,Round of 16,False
ucl202122-chelseafc-lilleosc-2022-02-22,2021-22,202122,2022-02-22,Chelsea FC,Lille OSC,2,0,H,1.0,0.0,H,,Round of 16,False
ucl202122-villarrealcf-juventus-2022-02-22,2021-22,202122,2022-02-22,Villarreal CF,Juventus,1,1,D,0.0,1.0,A,,Round of 16,False
ucl202122-slbenfica-afcajax-2022-02-23,2021-22,202122,2022-02-23,SL Benfica,AFC Ajax,2,2,D,1.0,2.0,A,,Round of 16,False
ucl202122-atlticomadrid-manchesterunited-2022-02-23,2021-22,202122,2022-02-23,Atlético Madrid,Manchester United,1,1,D,1.0,0.0,H,,Round of 16,False
ucl202122-bayernmnchen-rbsalzburg-2022-03-08,2021-22,202122,2022-03-08,Bayern München,RB Salzburg,7,1,H,4.0,0.0,H,,Round of 16,False
ucl202122-liverpoolfc-inter-2022-03-08,2021-22,202122,2022-03-08,Liverpool FC,Inter,0,1,A,0.0,0.0,D,,Round of 16,False
ucl202122-manchestercity-sportingcp-2022-03-09,2021-22,202122,2022-03-09,Manchester City,Sporting CP,0,0,D,,,,,Round of 16,False
ucl202122-realmadrid-parissaintgermain-2022-03-09,2021-22,202122,2022-03-09,Real Madrid,Paris Saint-Germain,3,1,H,0.0,1.0,A,,Round of 16,False
ucl202122-afcajax-slbenfica-2022-03-15,2021-22,202122,2022-03-15,AFC Ajax,SL Benfica,0,1,A,0.0,0.0,D,,Round of 16,False
ucl202122-manchesterunited-atlticomadrid-2022-03-15,2021-22,202122,2022-03-15,Manchester United,Atlético Madrid,0,1,A,0.0,1.0,A,,Round of 16,False
ucl202122-lilleosc-chelseafc-2022-03-16,2021-22,202122,2022-03-16,Lille OSC,Chelsea FC,1,2,A,1.0,1.0,D,,Round of 16,False
ucl202122-juventus-villarrealcf-2022-03-16,2021-22,202122,2022-03-16,Juventus,Villarreal CF,0,3,A,0.0,0.0,D,,Round of 16,False
ucl202122-manchestercity-atlticomadrid-2022-04-05,2021-22,202122,2022-04-05,Manchester City,Atlético Madrid,1,0,H,0.0,0.0,D,,Quarter-final,False
ucl202122-slbenfica-liverpoolfc-2022-04-05,2021-22,202122,2022-04-05,SL Benfica,Liverpool FC,1,3,A,0.0,2.0,A,,Quarter-final,False
ucl202122-chelseafc-realmadrid-2022-04-06,2021-22,202122,2022-04-06,Chelsea FC,Real Madrid,1,3,A,1.0,2.0,A,,Quarter-final,False
ucl202122-villarrealcf-bayernmnchen-2022-04-06,2021-22,202122,2022-04-06,Villarreal CF,Bayern München,1,0,H,1.0,0.0,H,,Quarter-final,False
ucl202122-bayernmnchen-villarrealcf-2022-04-12,2021-22,202122,2022-04-12,Bayern München,Villarreal CF,1,1,D,0.0,0.0,D,,Quarter-final,False
ucl202122-realmadrid-chelseafc-2022-04-12,2021-22,202122,2022-04-12,Real Madrid,Chelsea FC,2,3,A,1.0,3.0,A,,Quarter-final,False
ucl202122-atlticomadrid-manchestercity-2022-04-13,2021-22,202122,2022-04-13,Atlético Madrid,Manchester City,0,0,D,,,,,Quarter-final,False
ucl202122-liverpoolfc-slbenfica-2022-04-13,2021-22,202122,2022-04-13,Liverpool FC,SL Benfica,3,3,D,1.0,1.0,D,,Quarter-final,False
ucl202122-manchestercity-realmadrid-2022-04-26,2021-22,202122,2022-04-26,Manchester City,Real Madrid,4,3,H,2.0,1.0,H,,Semi-final,False
ucl202122-liverpoolfc-villarrealcf-2022-04-27,2021-22,202122,2022-04-27,Liverpool FC,Villarreal CF,2,0,H,0.0,0.0,D,,Semi-final,False
ucl202122-villarrealcf-liverpoolfc-2022-05-03,2021-22,202122,2022-05-03,Villarreal CF,Liverpool FC,2,3,A,2.0,0.0,H,,Semi-final,False
ucl202122-realmadrid-manchestercity-2022-05-04,2021-22,202122,2022-05-04,Real Madrid,Manchester City,3,1,H,2.0,1.0,H,,Semi-final,False
ucl202122-liverpoolfc-realmadrid-2022-05-28,2021-22,202122,2022-05-28,Liverpool FC,Real Madrid,0,1,A,0.0,0.0,D,,Final,True
ucl202223-afcajax-rangersfc-2022-09-07,2022-23,202223,2022-09-07,AFC Ajax,Rangers FC,4,0,H,3.0,0.0,H,,League phase / group stage,False
ucl202223-sscnapoli-liverpoolfc-2022-09-07,2022-23,202223,2022-09-07,SSC Napoli,Liverpool FC,4,1,H,3.0,0.0,H,,League phase / group stage,False
ucl202223-liverpoolfc-afcajax-2022-09-13,2022-23,202223,2022-09-13,Liverpool FC,AFC Ajax,2,1,H,1.0,1.0,D,,League phase / group stage,False
ucl202223-rangersfc-sscnapoli-2022-09-14,2022-23,202223,2022-09-14,Rangers FC,SSC Napoli,0,3,A,0.0,0.0,D,,League phase / group stage,False
ucl202122-atlticomadrid-fcporto-2022-09-15,2021-22,202122,2022-09-15,Atlético Madrid,FC Porto,0,0,D,,,,,League phase / group stage,False
ucl202122-liverpoolfc-acmilan-2022-09-15,2021-22,202122,2022-09-15,Liverpool FC,AC Milan,3,2,H,1.0,2.0,A,,League phase / group stage,False
ucl202122-acmilan-atlticomadrid-2022-09-28,2021-22,202122,2022-09-28,AC Milan,Atlético Madrid,1,2,A,1.0,0.0,H,,League phase / group stage,False
ucl202122-fcporto-liverpoolfc-2022-09-28,2021-22,202122,2022-09-28,FC Porto,Liverpool FC,1,5,A,0.0,2.0,A,,League phase / group stage,False
ucl202223-afcajax-sscnapoli-2022-10-04,2022-23,202223,2022-10-04,AFC Ajax,SSC Napoli,1,6,A,1.0,3.0,A,,League phase / group stage,False
ucl202223-liverpoolfc-rangersfc-2022-10-04,2022-23,202223,2022-10-04,Liverpool FC,Rangers FC,2,0,H,1.0,0.0,H,,League phase / group stage,False
ucl202223-sscnapoli-afcajax-2022-10-12,2022-23,202223,2022-10-12,SSC Napoli,AFC Ajax,4,2,H,2.0,0.0,H,,League phase / group stage,False
ucl202223-rangersfc-liverpoolfc-2022-10-12,2022-23,202223,2022-10-12,Rangers FC,Liverpool FC,1,7,A,1.0,1.0,D,,League phase / group stage,False
ucl202122-fcporto-acmilan-2022-10-19,2021-22,202122,2022-10-19,FC Porto,AC Milan,1,0,H,0.0,0.0,D,,League phase / group stage,False
ucl202122-atlticomadrid-liverpoolfc-2022-10-19,2021-22,202122,2022-10-19,Atlético Madrid,Liverpool FC,2,3,A,2.0,2.0,D,,League phase / group stage,False
ucl202223-afcajax-liverpoolfc-2022-10-26,2022-23,202223,2022-10-26,AFC Ajax,Liverpool FC,0,3,A,0.0,1.0,A,,League phase / group stage,False
ucl202223-sscnapoli-rangersfc-2022-10-26,2022-23,202223,2022-10-26,SSC Napoli,Rangers FC,3,0,H,2.0,0.0,H,,League phase / group stage,False
